Category,Josh,Juan
Best Picture,Hamnet,One Battle After Another
Best Director,Ryan Coogler,Paul Thomas Anderson
Best Actress,Jessie Buckley,Jessie Buckley
Best Actor,Michael B. Jordan,Michael B. Jordan
Best Supporting Actress,Teyana Taylor,Teyana Taylor
Best Supporting Actor,Stellan Skarsgård,Delroy Lindo
Best Original Screenplay,Sinners,Sinners
Best Adapted Screenplay,Hamnet,Hamnet
Best International Feature,The Voice of Hind Rajab,The Secret Agent
Best Animated Feature,KPop Demon Hunters,Little Amélie or the Character of Rain
Best Documentary Feature,The Perfect Neighbor,Come See Me in the Good Light
Best Original Score,Frankenstein,Sinners
Best Original Song,Golden,Golden
Best Cinematography,Train Dreams,Train Dreams
Best Costume Design,Frankenstein,Frankenstein
Best Film Editing,F1,F1
Best Casting,One Battle After Another,One Battle After Another
Best Makeup and Hairstyling,Frankenstein,Frankenstein
Best Production Design,Sinners,One Battle After Another
Best Sound,F1,F1
Best Visual Effects,Avatar: Fire and Ash,Avatar: Fire and Ash
Best Animated Short,Retirement Plan,Butterfly
Best Live-Action Short,A Friend of Dorothy,The Singers
Best Documentary Short,"Children No More: ""Were and Are Gone""",The Devil Is Busy